MaPhim,TenPhim,TenPhimHienThi,TenGoc,TenPhimTiengAnh,TenPhimHienThiCuoi,TomTatNoiDung,TomTatNoiDungTiengAnh,CauGioiThieu,TrangThai,PhimNguoiLon,NgonNguGoc,TrangChu,MaIMDb,MaIMDbAPI,DuongDanPoster,DuongDanAnhNen,CanBoSungTenTiengAnh,DaBoSungTuAPI,NguonBoSung
257344,Pixels,Pixels,Pixels,,Pixels,Video game experts are recruited by the military to fight 1980s-era video game characters who've attacked New York.,,Game On.,Released,False,en,https://www.sonypictures.com/movies/pixels,tt2120120,,/rV5DzghQv6z6Yagak6ysKE77nuf.jpg,/dsxpP9qbF1PHk4j4aPjimkLTwxq.jpg,False,False,
345940,The Meg,The Meg,The Meg,,The Meg,"A deep sea submersible pilot revisits his past fears in the Mariana Trench, and accidentally unleashes the seventy foot ancestor of the Great White Shark believed to be extinct.",,Pleased to eat you,Released,False,en,https://www.warnerbros.com/movies/meg,tt4779682,,/eyWICPcxOuTcDDDbTMOZawoOn8d.jpg,/6bAjogOzrB9xbmIaY3BRpZZgn5Q.jpg,False,False,
339964,Valerian and the City of a Thousand Planets,Valerian and the City of a Thousand Planets,Valerian and the City of a Thousand Planets,,Valerian and the City of a Thousand Planets,"In the 28th century, Valerian and Laureline are special operatives charged with keeping order throughout the human territories. On assignment from the Minister of Defense, the two undertake a mission to Alpha, an ever-expanding metropolis where species from across the universe have converged over centuries to share knowledge, intelligence, and cultures. At the center of Alpha is a mysterious dark force which threatens the peaceful existence of the City of a Thousand Planets, and Valerian and Laureline must race to identify the menace and safeguard not just Alpha, but the future of the universe.",,A universe without boundaries needs heroes without limits.,Released,False,en,,tt2239822,,/aCDrPEfvxcPNRynd2uZyXql7aj.jpg,/5rYnygKCkmqWuMv1O5yAnzGF8gV.jpg,False,False,
282035,The Mummy,The Mummy,The Mummy,,The Mummy,"Though safely entombed in a crypt deep beneath the unforgiving desert, an ancient queen whose destiny was unjustly taken from her is awakened in our current day, bringing with her malevolence grown over millennia, and terrors that defy human comprehension.",,Welcome To A New World of Gods And Monsters,Released,False,en,http://www.themummy.com,tt2345759,,/zxkY8byBnCsXodEYpK8tmwEGXBI.jpg,/i4ZougHEyBAboDpi6jsaTUDTjUl.jpg,False,False,
396535,Train to Busan,Train to Busan,부산행,,Train to Busan,"When a zombie virus pushes Korea into a state of emergency, those trapped on an express train to Busan must fight for their own survival.",,Life-or-death survival begins,Released,False,ko,https://www.wellgousa.com/films/train-to-busan,tt5700672,,/vNVFt6dtcqnI7hqa6LFBUibuFiw.jpg,/aKISIT8ir0UhHD4yRHDzpK4b6yS.jpg,False,False,
68735,Warcraft,Warcraft,Warcraft,,Warcraft,"The peaceful realm of Azeroth stands on the brink of war as its civilization faces a fearsome race of invaders: orc warriors fleeing their dying home to colonize another. As a portal opens to connect the two worlds, one army faces destruction and the other faces extinction. From opposing sides, two heroes are set on a collision course that will decide the fate of their family, their people, and their home.",,Two worlds. One home.,Released,False,en,http://www.warcraft-themovie.com/,tt0803096,,/nZIIOs06YigBnvmlJ2hxZeA8eTO.jpg,/aTGvZ3F8QnAD8cPpJRaaqRRxFK6.jpg,False,False,
337401,Mulan,Mulan,Mulan,,Mulan,"When the Emperor of China issues a decree that one man per family must serve in the Imperial Chinese Army to defend the country from Huns, Hua Mulan, the eldest daughter of an honored warrior, steps in to take the place of her ailing father. She is spirited, determined and quick on her feet. Disguised as a man by the name of Hua Jun, she is tested every step of the way and must harness her innermost strength and embrace her true potential.",,Loyal. Brave. True.,Released,False,en,https://movies.disney.com/mulan-2020,tt4566758,,/aKx1ARwG55zZ0GpRvU2WrGrCG9o.jpg,/zMrk2G3XsnfYKiIp1NEfdtvDyBH.jpg,False,False,
419704,Ad Astra,Ad Astra,Ad Astra,,Ad Astra,"The near future, a time when both hope and hardships drive humanity to look to the stars and beyond. While a mysterious phenomenon menaces to destroy life on planet Earth, astronaut Roy McBride undertakes a mission across the immensity of space and its many perils to uncover the truth about a lost expedition that decades before boldly faced emptiness and silence in search of the unknown.",,The answers we seek are just outside our reach,Released,False,en,https://www.foxmovies.com/movies/ad-astra,tt2935510,,/xBHvZcjRiWyobQ9kxBhO6B2dtRI.jpg,/AeDS2MKGFy6QcjgWbJBde0Ga6Hd.jpg,False,False,
38575,The Karate Kid,The Karate Kid,The Karate Kid,,The Karate Kid,"Twelve-year-old Dre Parker could have been the most popular kid in Detroit, but his mother's latest career move has landed him in China. Dre immediately falls for his classmate Mei Ying but the cultural differences make such a friendship impossible. Even worse, Dre's feelings make him an enemy of the class bully, Cheng. With no friends in a strange land, Dre has nowhere to turn but maintenance man Mr. Han, who is a kung fu master. As Han teaches Dre that kung fu is not about punches and parries, but maturity and calm, Dre realizes that facing down the bullies will be the fight of his life.",,A Challenge He Never Imagined. A Teacher He Never Expected.,Released,False,en,https://www.sonypictures.com/movies/thekaratekid,tt1155076,,/o4gwFcm6qRgnC9Gff4giy0POHdF.jpg,/9Cip74Gl1xOkRP0e4OAiPZp8C4k.jpg,False,False,
373571,Godzilla: King of the Monsters,Godzilla: King of the Monsters,Godzilla: King of the Monsters,,Godzilla: King of the Monsters,"Follows the heroic efforts of the crypto-zoological agency Monarch as its members face off against a battery of god-sized monsters, including the mighty Godzilla, who collides with Mothra, Rodan, and his ultimate nemesis, the three-headed King Ghidorah. When these ancient super-species, thought to be mere myths, rise again, they all vie for supremacy, leaving humanity's very existence hanging in the balance.",,Long live the king.,Released,False,en,http://www.godzillamovie.com,tt3741700,,/fQ40gmFM4p03tXwMxQQKh2cCBW4.jpg,/uovH5k4BAEPqXqxgwVrTtqH169g.jpg,False,False,
324668,Jason Bourne,Jason Bourne,Jason Bourne,,Jason Bourne,The most dangerous former operative of the CIA is drawn out of hiding to uncover hidden truths about his past.,,You know his name,Released,False,en,http://www.jasonbournemovie.com,tt4196776,,/xA7N41glw17MBQtcWSm2eBlBRuG.jpg,/7mHeyU0a538bgguOeF57I8ZroSk.jpg,False,False,
140300,Kung Fu Panda 3,Kung Fu Panda 3,Kung Fu Panda 3,,Kung Fu Panda 3,"Continuing his ""legendary adventures of awesomeness"", Po must face two hugely epic, but different threats: one supernatural and the other a little closer to his home.",,Grab destiny by the rice dumplings.,Released,False,en,http://www.kungfupanda.com/,tt2267968,,/oajNi4Su39WAByHI6EONu8G8HYn.jpg,/uT5G4fA7jKxlJNfwYPMm353f5AI.jpg,False,False,
157353,Transcendence,Transcendence,Transcendence,,Transcendence,"Two leading computer scientists work toward their goal of Technological Singularity, as a radical anti-technology organization fights to prevent them from creating a world where computers can transcend the abilities of the human brain.",,"Yesterday, Dr. Will Caster was only human...",Released,False,en,,tt2209764,,/qmOKJWl3wnXDcLhjtJHnCCCvAiO.jpg,/jis0J9GstjkrmtivoVAdSTc1pFi.jpg,False,False,
311324,The Great Wall,The Great Wall,The Great Wall,,The Great Wall,European mercenaries searching for black powder become embroiled in the defense of the Great Wall of China against a horde of monstrous creatures.,,1700 years to build. 5500 miles long. What were they trying to keep out?,Released,False,en,http://www.thegreatwallmovie.com/,tt2034800,,/p70dq1YxabemdZDm5K6Q8G10wSn.jpg,/jmg9qYhzPZdYuNaOZr5xrQPK6cQ.jpg,False,False,
453405,Gemini Man,Gemini Man,Gemini Man,,Gemini Man,"Henry Brogan is an elite 51-year-old assassin who's ready to call it quits after completing his 72nd job. His plans get turned upside down when he becomes the target of a mysterious operative who can seemingly predict his every move. To his horror, Brogan soon learns that the man who's trying to kill him is a younger, faster, cloned version of himself.",,Who will save you from yourself?,Released,False,en,http://skydance.com/film/gemini-man/,tt1025100,,/uTALxjQU8e1lhmNjP9nnJ3t2pRU.jpg,/c3F4P2oauA7IQmy4hM0OmRt2W7d.jpg,False,False,
338762,Bloodshot,Bloodshot,Bloodshot,,Bloodshot,"After he and his wife are murdered, marine Ray Garrison is resurrected by a team of scientists. Enhanced with nanotechnology, he becomes a superhuman, biotech killing machine—'Bloodshot'. As Ray first trains with fellow super-soldiers, he cannot recall anything from his former life. But when his memories flood back and he remembers the man that killed both him and his wife, he breaks out of the facility to get revenge, only to discover that there's more to the conspiracy than he thought.",,Being a superhero is in his blood,Released,False,en,https://www.bloodshot.movie/,tt1634106,,/8WUVHemHFH2ZIP6NWkwlHWsyrEL.jpg,/lP5eKh8WOcPysfELrUpGhHJGZEH.jpg,False,False,
290859,Terminator: Dark Fate,Terminator: Dark Fate,Terminator: Dark Fate,,Terminator: Dark Fate,"Decades after Sarah Connor prevented Judgment Day, a lethal new Terminator is sent to eliminate the future leader of the resistance. In a fight to save mankind, battle-hardened Sarah Connor teams up with an unexpected ally and an enhanced super soldier to stop the deadliest Terminator yet.",,Welcome to the day after judgement day,Released,False,en,https://www.paramountmovies.com/movies/terminator-dark-fate,tt6450804,,/vqzNJRH4YyquRiWxCCOH0aXggHI.jpg,/a6cDxdwaQIFjSkXf7uskg78ZyTq.jpg,False,False,
290595,The Huntsman: Winter's War,The Huntsman: Winter's War,The Huntsman: Winter's War,,The Huntsman: Winter's War,"As two evil sisters prepare to conquer the land, two renegades—Eric the Huntsman, who aided Snow White in defeating Ravenna in Snowwhite and the Huntsman, and his forbidden lover, Sara—set out to stop them.",,The story before Snow White,Released,False,en,http://www.thehuntsmanmovie.com/,tt2381991,,/cjAGYsTPmmhZOwzrgon0Drpu43K.jpg,/4kCDWJhceLHwPbRWd9uTR8bJpLz.jpg,False,False,
343611,Jack Reacher: Never Go Back,Jack Reacher: Never Go Back,Jack Reacher: Never Go Back,,Jack Reacher: Never Go Back,"When Major Susan Turner is arrested for treason, ex-investigator Jack Reacher undertakes the challenging task to prove her innocence and ends up exposing a shocking conspiracy.",,Justice is Coming.,Released,False,en,,tt3393786,,/cOg3UT2NYWHZxp41vpxAnVCOC4M.jpg,/ww1eIoywghjoMzRLRIcbJLuKnJH.jpg,False,False,
479455,Men in Black: International,Men in Black: International,Men in Black: International,,Men in Black: International,"The Men in Black have always protected the Earth from the scum of the universe. In this new adventure, they tackle their biggest, most global threat to date: a mole in the Men in Black organization.",,The universe is expanding,Released,False,en,https://www.meninblack.com,tt2283336,,/dPrUPFcgLfNbmDL8V69vcrTyEfb.jpg,/2FYzxgLNuNVwncilzUeCGbOQzP7.jpg,False,False,
369885,Allied,Allied,Allied,,Allied,"In 1942, an intelligence officer in North Africa encounters a female French Resistance fighter on a deadly mission behind enemy lines. When they reunite in London, their relationship is tested by the pressures of war.",,The enemy is listening.,Released,False,en,http://www.alliedmovie.com/,tt3640424,,/sV4lXM32quwminL3TP36nlNPp7Q.jpg,/gMssbddpo4thHGHMpQEZC00Sq9.jpg,False,False,
1735,The Mummy: Tomb of the Dragon Emperor,The Mummy: Tomb of the Dragon Emperor,The Mummy: Tomb of the Dragon Emperor,,The Mummy: Tomb of the Dragon Emperor,"Archaeologist Rick O'Connell travels to China, pitting him against an emperor from the 2,000-year-old Han dynasty who's returned from the dead to pursue a quest for world domination. This time, O'Connell enlists the help of his wife and son to quash the so-called 'Dragon Emperor' and his abuse of supernatural power.",,A New Evil Awakens.,Released,False,en,http://www.themummy.com/,tt0859163,,/A3acM1lX5PNWQa6r5qeMAJOxbnT.jpg,/z1btePhD1jIDLbjy5OCnO0KVf5O.jpg,False,False,
387426,Okja,Okja,Okja,,Okja,"A young girl named Mija risks everything to prevent a powerful, multi-national company from kidnapping her best friend - a massive animal named Okja.",,,Released,False,en,http://www.netflix.com/title/80091936,tt3967856,,/pHlRr2MfjK77VIIAO7p0R4jhsJI.jpg,/qkLZoJ1h998eJEmbuHGPCKZF0y7.jpg,False,False,
639933,The Northman,The Northman,The Northman,,The Northman,"Prince Amleth is on the verge of becoming a man when his father is brutally murdered by his uncle, who kidnaps the boy's mother. Two decades later, Amleth is now a Viking who's on a mission to save his mother, kill his uncle and avenge his father.",,Conquer your fate.,Released,False,en,https://www.focusfeatures.com/the-northman,tt11138512,,/aSSJMnHknzKjlZ6zybwD7eyJ4Po.jpg,/tnXCawKBfoMYStSaabtd84MH1Lc.jpg,False,False,
522938,Rambo: Last Blood,Rambo: Last Blood,Rambo: Last Blood,,Rambo: Last Blood,"After fighting his demons for decades, John Rambo now lives in peace on his family ranch in Arizona, but his rest is interrupted when Gabriela, the granddaughter of his housekeeper María, disappears after crossing the border into Mexico to meet her biological father. Rambo, who has become a true father figure for Gabriela over the years, undertakes a desperate and dangerous journey to find her.",,Everyone has one more fight in them,Released,False,en,https://rambo.movie,tt1206885,,/kTQ3J8oTTKofAVLYnds2cHUz9KO.jpg,/pAsZ0ifQwKTHVab8bCHHn2qtizE.jpg,False,False,
14756,Ip Man,Ip Man,葉問,,Ip Man,"A semi-biographical account of Yip Man, the first martial arts master to teach the Chinese martial art of Wing Chun. The film focuses on events surrounding Ip that took place in the city of Foshan between the 1930s to 1940s during the Second Sino-Japanese War. Directed by Wilson Yip, the film stars Donnie Yen in the lead role, and features fight choreography by Sammo Hung.",,The celebrated Kung Fu master of Bruce Lee.,Released,False,cn,http://www.ipman-movie.com/,tt1220719,,/ggTTUXZg7trvAhsVj3eyd65bAnh.jpg,/69QJSMkm5Hh0x9fLElZ8hjv5N4P.jpg,False,False,
396371,Molly's Game,Molly's Game,Molly's Game,,Molly's Game,"Molly Bloom, a young skier and former Olympic hopeful becomes a successful entrepreneur (and a target of an FBI investigation) when she establishes a high-stakes, international poker game.",,Deal with her.,Released,False,en,http://mollysgame.movie/,tt4209788,,/in43bQ7k0ttr666IPP94IlbQbTR.jpg,/yvbXGWjg30sj7rohEZvSe90jSJC.jpg,False,False,
11423,Memories of Murder,Memories of Murder,살인의 추억,,Memories of Murder,"During the late 1980s, two detectives in a South Korean province attempt to solve the nation's first series of rape-and-murder cases.",,The worst of them will stay with you... forever.,Released,False,ko,http://www.memoriesofmurder.com/,tt0353969,,/lp3Qzzq1zzy6ToJul9DGBBd8ua1.jpg,/2NArMoObkAbnIPvqlHC3gRGsfBb.jpg,False,False,
290098,The Handmaiden,The Handmaiden,아가씨,,The Handmaiden,"In 1930s Korea, a swindler and a young woman pose as a Japanese count and a handmaiden to seduce a Japanese heiress and steal her fortune.",,Never did they expect to get into a controversial relationship...,Released,False,ko,,tt4016934,,/8MnMGO3oALkaiavehLmsKwvBU8S.jpg,/3upEZ0ltY7WwOSFVXrtiP34D48p.jpg,False,False,
458576,Monster Hunter,Monster Hunter,Monster Hunter,,Monster Hunter,"A portal transports Cpt. Artemis and an elite unit of soldiers to a strange world where powerful monsters rule with deadly ferocity. Faced with relentless danger, the team encounters a mysterious hunter who may be their only hope to find a way home.",,"Behind our world, there is another.",Released,False,en,https://www.monsterhunter.movie,tt6475714,,/1UCOF11QCw8kcqvce8LKOO6pimh.jpg,/z8TvnEVRenMSTemxYZwLGqFofgF.jpg,False,False,
146,"Crouching Tiger, Hidden Dragon","Crouching Tiger, Hidden Dragon",卧虎藏龍,,"Crouching Tiger, Hidden Dragon","Two warriors in pursuit of a stolen sword and a notorious fugitive are led to an impetuous, physically-skilled, teenage nobleman's daughter, who is at a crossroads in her life.",,"A timeless story of strength, secrets and two warriors who would never surrender.",Released,False,zh,,tt0190332,,/iNDVBFNz4XyYzM9Lwip6atSTFqf.jpg,/ylZ06kRUF2JKkrCG2E3qn5D9w8L.jpg,False,False,
516486,Greyhound,Greyhound,Greyhound,,Greyhound,"A first-time captain leads a convoy of allied ships carrying thousands of soldiers across the treacherous waters of the “Black Pit” to the front lines of WW2. With no air cover protection for 5 days, the captain and his convoy must battle the surrounding enemy Nazi U-boats in order to give the allies a chance to win the war.",,The only thing more dangerous than the front lines was the fight to get there.,Released,False,en,https://tv.apple.com/movie/greyhound/umc.cmc.o5z5ztufuu3uv8lx7m0jcega,tt6048922,,/kjMbDciooTbJPofVXgAoFjfX8Of.jpg,/xXBnM6uSTk6qqCf0SRZKXcga9Ba.jpg,False,False,
1255,The Host,The Host,괴물,,The Host,"A teenage girl is captured by a giant mutated squid-like creature that appears from Seoul's Han River after toxic waste was dumped in it, prompting her family into a frantic search for her.",,Monsters are real.,Released,False,ko,http://www.hostmovie.com/,tt0468492,,/dEDLY3KeghKFzks5nTDWdigVikr.jpg,/f8lQnoUG0UVK6xXOvfoP0alVJrW.jpg,False,False,
2044,The Lake House,The Lake House,The Lake House,,The Lake House,"A lonely doctor who once occupied an unusual lakeside home begins exchanging love letters with its former resident, a frustrated architect. They must try to unravel the mystery behind their extraordinary romance before it's too late.",,How do you hold on to someone you've never met?,Released,False,en,http://wwws.warnerbros.de/thelakehouse/,tt0410297,,/tHpc1118dYWLnHZleGhwZxRbpae.jpg,/afrh3vqLrZeg6ZtKJKm7XW1TiVF.jpg,False,False,
9470,Kung Fu Hustle,Kung Fu Hustle,功夫,,Kung Fu Hustle,"It's the 1940s, and the notorious Axe Gang terrorizes Shanghai. Small-time criminals Sing and Bone hope to join, but they only manage to make lots of very dangerous enemies. Fortunately for them, kung fu masters and hidden strength can be found in unlikely places. Now they just have to take on the entire Axe Gang.",,So many gangsters… so little time.,Released,False,cn,,tt0373074,,/exbyTbrvRUDKN2mcNEuVor4VFQW.jpg,/3CkQOM6Ef2keNvMeokhUivD08rc.jpg,False,False,
379149,The Foreigner,The Foreigner,The Foreigner,,The Foreigner,Quan is a humble London businessman whose long-buried past erupts in a revenge-fueled vendetta when the only person left for him to love – his teenage daughter – dies in an Irish Republican Army car bombing. His relentless search to find the terrorists leads to a cat-and-mouse conflict with a British government official whose own past may hold the clues to the identities of the elusive killers.,,Never push a good man too far,Released,False,en,http://theforeignermovie.com/,tt1615160,,/rwM4hzrmc5HiWfQD9ls9DL4QgGl.jpg,/sDiGcjWhSu42dCw0jQmBInAkDZ9.jpg,False,False,
68737,Seventh Son,Seventh Son,Seventh Son,,Seventh Son,"John Gregory, who is a seventh son of a seventh son and also the local spook, has protected the country from witches, boggarts, ghouls and all manner of things that go bump in the night. However John is not young anymore, and has been seeking an apprentice to carry on his trade. Most have failed to survive. The last hope is a young farmer's son named Thomas Ward. Will he survive the training to become the spook that so many others couldn't?",,"When darkness falls, the son will rise. When the son falls, the dark knight will rise.",Released,False,en,,tt1121096,,/7Q8DfXSjcFSSQDOxz1Sk865wNqI.jpg,/wPZPiHsd7Oz3vg3IuVRtSHBY9iU.jpg,False,False,
365942,The Space Between Us,The Space Between Us,The Space Between Us,,The Space Between Us,A young man raised by scientists on Mars returns to Earth to find his father.,,What's your favorite thing about Earth?,Released,False,en,http://stxmovies.com/thespacebetweenus/,tt3922818,,/lRBl9mfvUbZeaAyXoP09XwPOo0W.jpg,/1NqHduv9SsWuZ5dMUJQC5dADsqz.jpg,False,False,
49797,I Saw the Devil,I Saw the Devil,악마를 보았다,,I Saw the Devil,"Kyung-Chul is a dangerous psychopath who kills for pleasure. Soo-Hyun, a top-secret agent, decides to track down the murderer himself. He promises himself that he will do everything in his power to take vengeance against the killer, even if it means that he must become a monster himself.",,Abandon all compassion.,Released,False,ko,http://www.isawthedevilmovie.com/,tt1588170,,/zp5NrmYp80axIGiEiYPmm1CW6uH.jpg,/ylqOWMU3nyZqg8hjJBG4EPdsGSk.jpg,False,False,
325348,Hardcore Henry,Hardcore Henry,Hardcore Henry,,Hardcore Henry,"Henry, a newly resurrected cyborg who must save his wife/creator from the clutches of a psychotic tyrant with telekinetic powers, AKAN, and his army of mercenaries. Fighting alongside Henry is Jimmy, who is Henry's only hope to make it through the day. Hardcore Henry takes place over the course of one day, in Moscow, Russia.",,First they made him dangerous. Then they made him mad.,Released,False,en,http://stxmovies.com/hardcorehenry/,tt3072482,,/ik1uZyiMSxF9HqrgRKUNfMCfr3z.jpg,/v8hR0mRO5vhKLJJYhUVJFqZRd8Z.jpg,False,False,
581392,Peninsula,Peninsula,반도,,Peninsula,A soldier and his team battle hordes of post-apocalyptic zombies in the wastelands of the Korean Peninsula.,,Escape the apocalypse.,Released,False,ko,https://www.wellgousa.com/films/train-to-busan-presents-peninsula,tt8850222,,/eeqvAzCccAZOhU3RfbvHB3s44S6.jpg,/gEjNlhZhyHeto6Fy5wWy5Uk3A9D.jpg,False,False,
257088,Point Break,Point Break,Point Break,,Point Break,"A young undercover FBI agent infiltrates a gang of thieves who share a common interest in extreme sports. A remake of the 1991 film, ""Point Break"".",,The only law that matters is gravity,Released,False,en,https://www.facebook.com/PointBreakMovie,tt2058673,,/z7JOvw5Lqs9ezoFTJxmz3nx3av2.jpg,/7fdy9iThI5qfJ9WMra8SrdvQs02.jpg,False,False,
37472,Ip Man 2,Ip Man 2,葉問2,,Ip Man 2,"Having defeated the best fighters of the Imperial Japanese army in occupied Shanghai, Ip Man and his family settle in post-war Hong Kong. Struggling to make a living, Master Ip opens a kung fu school to bring his celebrated art of Wing Chun to the troubled youth of Hong Kong. His growing reputation soon brings challenges from powerful enemies, including pre-eminent Hung Gar master, Hung Quan.",,Behind every great martial artist lies a teacher.,Released,False,cn,http://www.ipman2-movie.com/,tt1386932,,/yB5v6wRhIoZxlDvCFFCQhUNezDY.jpg,/6Zo212BjDdDMqRIqcaiWXn10hty.jpg,False,False,
615656,Meg 2: The Trench,Meg 2: The Trench,Meg 2: The Trench,,Meg 2: The Trench,An exploratory dive into the deepest depths of the ocean of a daring research team spirals into chaos when a malevolent mining operation threatens their mission and forces them into a high-stakes battle for survival.,,Back for seconds.,Released,False,en,https://www.themeg.movie,tt9224104,,/4m1Au3YkjqsxF8iwQy0fPYSxE0h.jpg,/5mzr6JZbrqnqD8rCEvPhuCE5Fw2.jpg,False,False,
79,Hero,Hero,英雄,,Hero,"During China's Warring States period, a district prefect arrives at the palace of Qin Shi Huang, claiming to have killed the three assassins who had made an attempt on the king's life three years ago.",,One man's strength will unite an empire.,Released,False,zh,,tt0299977,,/1NBtOH3KPU9UUp1vzVHJ8qzdW88.jpg,/jDz6RYN3nKYtlo7J9IMvGoJit7B.jpg,False,False,
347375,Mile 22,Mile 22,Mile 22,,Mile 22,"An elite group of American operatives, aided by a top-secret tactical command team, must transport an asset who holds life-threatening information to an extraction point 22 miles away through the hostile streets of an Asian city.",,Option 1: Diplomacy. Option 2: Military. Meet Option 3.,Released,False,en,,tt4560436,,/2L8ehd95eSW9x7KINYtZmRkAlrZ.jpg,/2nOMUnQ4OtsKVTmpp3og7MYt4oG.jpg,False,False,
399402,Hunter Killer,Hunter Killer,Hunter Killer,,Hunter Killer,"Captain Glass of the USS Arkansas discovers that a coup d'état is taking place in Russia, so he and his crew join an elite group working on the ground to prevent a war.",,Courage runs deep,Released,False,en,https://www.hunterkiller.movie,tt1846589,,/a0j18XNVhP4RcW3wXwsqT0kVoQm.jpg,/hE6Jh9FJiBrakHcT3vmWxM0GVpv.jpg,False,False,
