MaPhim,TenPhim,DiemDanhGiaTB,SoLuotDanhGia,TrangThai,NgayPhatHanh,DoanhThu,ThoiLuong,PhimNguoiLon,DuongDanAnhNen,NganSach,TrangChu,MaIMDb,NgonNguGoc,TenGoc,TomTatNoiDung,DoPhoBien,DuongDanPoster,CauGioiThieu,TheLoai,CongTySanXuat,QuocGiaSanXuat,NgonNguDuocNoi,TuKhoa,QuocGiaDuocChon,QuocGiaDuocChonText,QuocGiaChinh,NamPhatHanh,TenPhimHienThi,CanBoSungTenTiengAnh,DuSoLuotDanhGia,CoDoanhThu,CoNganSach,ThoiLuongBatThuong,TenPhimTiengAnh,TomTatNoiDungTiengAnh,ThoiLuongAPI,NganSachAPI,DoanhThuAPI,MaIMDbAPI,DaBoSungTuAPI,NguonBoSung,ThoiDiemBoSung,TenPhimHienThiCuoi,ThoiLuongPhanTich,NguonThoiLuong,NganSachPhanTich,NguonNganSach,DoanhThuPhanTich,NguonDoanhThu
257344,Pixels,5.716,7061,Released,2015-07-16,244874809.0,105.0,False,/dsxpP9qbF1PHk4j4aPjimkLTwxq.jpg,88000000.0,https://www.sonypictures.com/movies/pixels,tt2120120,en,Pixels,Video game experts are recruited by the military to fight 1980s-era video game characters who've attacked New York.,32.028,/rV5DzghQv6z6Yagak6ysKE77nuf.jpg,Game On.,"Action, Comedy, Science Fiction","Sony Pictures, Columbia Pictures, 1492 Pictures, LStar Capital, China Film Group Corporation, Happy Madison Productions","China, United States of America",English,"new york city, london, england, usa president, washington dc, usa, video game, nerd, gamer, single mother, alien invasion, divorcee, centipede, childhood friends, military, gaming, divorced man, alien attack, 1980s, cable guy, live action and animation, donkey kong, darpa, taj mahal, india, guam, arcade game, world war, alternative world, old school, based on short film, aliens, pattern, best friends, pixelation, video arcade, space invaders, galaga, pac-man",['China'],China,China,2015,Pixels,False,True,True,True,False,,,,,,,False,,,Pixels,105,Goc,88000000,Goc,244874809,Goc
345940,The Meg,6.256,7018,Released,2018-08-09,530517320.0,113.0,False,/6bAjogOzrB9xbmIaY3BRpZZgn5Q.jpg,150000000.0,https://www.warnerbros.com/movies/meg,tt4779682,en,The Meg,"A deep sea submersible pilot revisits his past fears in the Mariana Trench, and accidentally unleashes the seventy foot ancestor of the Great White Shark believed to be extinct.",101.431,/eyWICPcxOuTcDDDbTMOZawoOn8d.jpg,Pleased to eat you,"Action, Science Fiction, Horror","Apelles Entertainment, Gravity Pictures, di Bonaventura Pictures, Flagship Entertainment Group, Maeday Productions, Warner Bros. Pictures","China, United States of America","Mandarin, English, Japanese, Thai","beach, based on novel or book, ocean, deep sea, creature, underwater, shark, oceanic expedition, kaiju, submersible, extinct, underwater facility, mariana trench",['China'],China,China,2018,The Meg,False,True,True,True,False,,,,,,,False,,,The Meg,113,Goc,150000000,Goc,530517320,Goc
339964,Valerian and the City of a Thousand Planets,6.625,6987,Released,2017-07-20,225973340.0,136.0,False,/5rYnygKCkmqWuMv1O5yAnzGF8gV.jpg,177200000.0,,tt2239822,en,Valerian and the City of a Thousand Planets,"In the 28th century, Valerian and Laureline are special operatives charged with keeping order throughout the human territories. On assignment from the Minister of Defense, the two undertake a mission to Alpha, an ever-expanding metropolis where species from across the universe have converged over centuries to share knowledge, intelligence, and cultures. At the center of Alpha is a mysterious dark force which threatens the peaceful existence of the City of a Thousand Planets, and Valerian and Laureline must race to identify the menace and safeguard not just Alpha, but the future of the universe.",36.195,/aCDrPEfvxcPNRynd2uZyXql7aj.jpg,A universe without boundaries needs heroes without limits.,"Adventure, Science Fiction, Action","Belga Films, River Road Entertainment, Grive Productions, EuropaCorp, UFA, Fundamental Films, Gulf Film, Novo Pictures, TF1 Films Production, Orange Studio, BNP Paribas Fortis","Belgium, Canada, China, France, Germany, United Arab Emirates, United States of America","French, English","future, shapeshifting, space travel, utopia, based on comic, alien, alien planet, energy, alien abduction, genocide, parallel world, political intrigue , pacifist, space opera, military, government agent, marketplace, trapped in space, federal government, unity, cosmopolis",['China'],China,China,2017,Valerian and the City of a Thousand Planets,False,True,True,True,False,,,,,,,False,,,Valerian and the City of a Thousand Planets,136,Goc,177200000,Goc,225973340,Goc
282035,The Mummy,5.507,6741,Released,2017-06-06,409231607.0,110.0,False,/i4ZougHEyBAboDpi6jsaTUDTjUl.jpg,125000000.0,http://www.themummy.com,tt2345759,en,The Mummy,"Though safely entombed in a crypt deep beneath the unforgiving desert, an ancient queen whose destiny was unjustly taken from her is awakened in our current day, bringing with her malevolence grown over millennia, and terrors that defy human comprehension.",21.893,/zxkY8byBnCsXodEYpK8tmwEGXBI.jpg,Welcome To A New World of Gods And Monsters,"Fantasy, Thriller, Action, Adventure, Horror","Secret Hideout, Sean Daniel Company, Universal Pictures, Perfect World Pictures, Conspiracy Factory, dentsu","China, Japan, United States of America","Arabic, English","egypt, monster, supernatural, mummy, remake, tomb, egyptian mythology, dark universe",['China'],China,China,2017,The Mummy,False,True,True,True,False,,,,,,,False,,,The Mummy,110,Goc,125000000,Goc,409231607,Goc
396535,Train to Busan,7.8,6694,Released,2016-07-20,87547518.0,118.0,False,/aKISIT8ir0UhHD4yRHDzpK4b6yS.jpg,8500000.0,https://www.wellgousa.com/films/train-to-busan,tt5700672,ko,부산행,"When a zombie virus pushes Korea into a state of emergency, those trapped on an express train to Busan must fight for their own survival.",49.553,/vNVFt6dtcqnI7hqa6LFBUibuFiw.jpg,Life-or-death survival begins,"Horror, Thriller, Action, Adventure","Next Entertainment World, RedPeter Film, Contents Panda, Union Investment Partners, KTB Network, Korean Film Council",South Korea,Korean,"zombie, train, survival horror, busan, south korea, south korea",['South Korea'],South Korea,South Korea,2016,Train to Busan,False,True,True,True,False,,,,,,,False,,,Train to Busan,118,Goc,8500000,Goc,87547518,Goc
68735,Warcraft,6.364,6340,Released,2016-05-25,433677183.0,123.0,False,/aTGvZ3F8QnAD8cPpJRaaqRRxFK6.jpg,160000000.0,http://www.warcraft-themovie.com/,tt0803096,en,Warcraft,"The peaceful realm of Azeroth stands on the brink of war as its civilization faces a fearsome race of invaders: orc warriors fleeing their dying home to colonize another. As a portal opens to connect the two worlds, one army faces destruction and the other faces extinction. From opposing sides, two heroes are set on a collision course that will decide the fate of their family, their people, and their home.",37.312,/nZIIOs06YigBnvmlJ2hxZeA8eTO.jpg,Two worlds. One home.,"Action, Adventure, Fantasy","Legendary Pictures, Universal Pictures, Atlas Entertainment, Blizzard Entertainment, Tencent Pictures, Fuji Television Network, dentsu, Huayi Brothers Pictures, Taihe Entertainment","China, Japan, Canada, United States of America",English,"video game, chase, orcs, elves, magic, based on comic, world of warcraft, sorcerer, fictional war, based on video game, wizard, fictional language, live action and animation, muscles, sword and sorcery",['China'],China,China,2016,Warcraft,False,True,True,True,False,,,,,,,False,,,Warcraft,123,Goc,160000000,Goc,433677183,Goc
337401,Mulan,6.906,6280,Released,2020-09-04,66800000.0,115.0,False,/zMrk2G3XsnfYKiIp1NEfdtvDyBH.jpg,200000000.0,https://movies.disney.com/mulan-2020,tt4566758,en,Mulan,"When the Emperor of China issues a decree that one man per family must serve in the Imperial Chinese Army to defend the country from Huns, Hua Mulan, the eldest daughter of an honored warrior, steps in to take the place of her ailing father. She is spirited, determined and quick on her feet. Disguised as a man by the name of Hua Jun, she is tested every step of the way and must harness her innermost strength and embrace her true potential.",43.222,/aKx1ARwG55zZ0GpRvU2WrGrCG9o.jpg,Loyal. Brave. True.,"Adventure, Fantasy, Drama, Action","Walt Disney Pictures, China Film Group Corporation, Good Fear, Jason T. Reed Productions","China, United States of America",English,"martial arts, hero, china, fake identity, honor, east asian lead, heroine, based on myths, legends or folklore, live action and animation, chinese girl, live action remake",['China'],China,China,2020,Mulan,False,True,True,True,False,,,,,,,False,,,Mulan,115,Goc,200000000,Goc,66800000,Goc
419704,Ad Astra,6.1,6143,Released,2019-09-17,127461872.0,123.0,False,/AeDS2MKGFy6QcjgWbJBde0Ga6Hd.jpg,87500000.0,https://www.foxmovies.com/movies/ad-astra,tt2935510,en,Ad Astra,"The near future, a time when both hope and hardships drive humanity to look to the stars and beyond. While a mysterious phenomenon menaces to destroy life on planet Earth, astronaut Roy McBride undertakes a mission across the immensity of space and its many perils to uncover the truth about a lost expedition that decades before boldly faced emptiness and silence in search of the unknown.",11.084,/xBHvZcjRiWyobQ9kxBhO6B2dtRI.jpg,The answers we seek are just outside our reach,"Science Fiction, Drama","New Regency Productions, MadRiver Pictures, Plan B Entertainment, RT Features, Bona Film Group, TSG Entertainment, Keep Your Head Productions, 20th Century Fox","Brazil, China, United States of America","English, Norwegian","moon, planet mars, loss of loved one, astronaut, moon colony, solar system, father son relationship, near future, planet neptune, space walk",['China'],China,China,2019,Ad Astra,False,True,True,True,False,,,,,,,False,,,Ad Astra,123,Goc,87500000,Goc,127461872,Goc
38575,The Karate Kid,6.527,5545,Released,2010-06-10,359126022.0,140.0,False,/9Cip74Gl1xOkRP0e4OAiPZp8C4k.jpg,40000000.0,https://www.sonypictures.com/movies/thekaratekid,tt1155076,en,The Karate Kid,"Twelve-year-old Dre Parker could have been the most popular kid in Detroit, but his mother's latest career move has landed him in China. Dre immediately falls for his classmate Mei Ying but the cultural differences make such a friendship impossible. Even worse, Dre's feelings make him an enemy of the class bully, Cheng. With no friends in a strange land, Dre has nowhere to turn but maintenance man Mr. Han, who is a kung fu master. As Han teaches Dre that kung fu is not about punches and parries, but maturity and calm, Dre realizes that facing down the bullies will be the fight of his life.",49.169,/o4gwFcm6qRgnC9Gff4giy0POHdF.jpg,A Challenge He Never Imagined. A Teacher He Never Expected.,"Action, Adventure, Drama, Family","Jerry Weintraub Productions, Columbia Pictures, China Film Group, Overbrook Entertainment, Sony Pictures, Zwart Arbeid","China, United States of America","Mandarin, English","martial arts, duringcreditsstinger, karate kid, the karate kid",['China'],China,China,2010,The Karate Kid,False,True,True,True,False,,,,,,,False,,,The Karate Kid,140,Goc,40000000,Goc,359126022,Goc
373571,Godzilla: King of the Monsters,6.674,5479,Released,2019-05-29,386600138.0,132.0,False,/uovH5k4BAEPqXqxgwVrTtqH169g.jpg,170000000.0,http://www.godzillamovie.com,tt3741700,en,Godzilla: King of the Monsters,"Follows the heroic efforts of the crypto-zoological agency Monarch as its members face off against a battery of god-sized monsters, including the mighty Godzilla, who collides with Mothra, Rodan, and his ultimate nemesis, the three-headed King Ghidorah. When these ancient super-species, thought to be mere myths, rise again, they all vie for supremacy, leaving humanity's very existence hanging in the balance.",53.983,/fQ40gmFM4p03tXwMxQQKh2cCBW4.jpg,Long live the king.,"Science Fiction, Action","Legendary Pictures, Huahua Media, TOHO","China, Japan, United States of America","Mandarin, English, Japanese","mexico, boston, massachusetts, giant monster, cryptozoology, eco terrorism, creature feature, rodan, kaiju, aftercreditsstinger, global threat, animal horror, king ghidorah, sunken city, mothra, godzilla, monsterverse",['China'],China,China,2019,Godzilla: King of the Monsters,False,True,True,True,False,,,,,,,False,,,Godzilla: King of the Monsters,132,Goc,170000000,Goc,386600138,Goc
324668,Jason Bourne,6.329,5362,Released,2016-07-27,415484914.0,123.0,False,/7mHeyU0a538bgguOeF57I8ZroSk.jpg,120000000.0,http://www.jasonbournemovie.com,tt4196776,en,Jason Bourne,The most dangerous former operative of the CIA is drawn out of hiding to uncover hidden truths about his past.,28.778,/xA7N41glw17MBQtcWSm2eBlBRuG.jpg,You know his name,"Action, Thriller, Mystery, Drama","The Kennedy/Marshall Company, Captivate Entertainment, Pearl Street Films, Perfect World Pictures","China, United States of America",English,"assassin, cia, amnesia, casino, chase, greece, flashback, hacking, las vegas, black ops, rogue agent, armored vehicle, reykjavík, iceland, hdd",['China'],China,China,2016,Jason Bourne,False,True,True,True,False,,,,,,,False,,,Jason Bourne,123,Goc,120000000,Goc,415484914,Goc
140300,Kung Fu Panda 3,6.878,5327,Released,2016-01-23,521170825.0,95.0,False,/uT5G4fA7jKxlJNfwYPMm353f5AI.jpg,145000000.0,http://www.kungfupanda.com/,tt2267968,en,Kung Fu Panda 3,"Continuing his ""legendary adventures of awesomeness"", Po must face two hugely epic, but different threats: one supernatural and the other a little closer to his home.",45.002,/oajNi4Su39WAByHI6EONu8G8HYn.jpg,Grab destiny by the rice dumplings.,"Action, Adventure, Animation, Comedy, Family","Pearl Studio, DreamWorks Animation, China Film Group Corporation, 20th Century Fox","China, United States of America",English,"martial arts, kung fu, china, fighter, village, sequel, panda, anthropomorphism, dragon, wuxia, woman director",['China'],China,China,2016,Kung Fu Panda 3,False,True,True,True,False,,,,,,,False,,,Kung Fu Panda 3,95,Goc,145000000,Goc,521170825,Goc
157353,Transcendence,6.029,5102,Released,2014-04-16,103039258.0,119.0,False,/jis0J9GstjkrmtivoVAdSTc1pFi.jpg,100000000.0,,tt2209764,en,Transcendence,"Two leading computer scientists work toward their goal of Technological Singularity, as a radical anti-technology organization fights to prevent them from creating a world where computers can transcend the abilities of the human brain.",20.628,/qmOKJWl3wnXDcLhjtJHnCCCvAiO.jpg,"Yesterday, Dr. Will Caster was only human...","Thriller, Science Fiction, Drama, Mystery","DMG Entertainment, Warner Bros. Pictures, Alcon Entertainment, Syncopy, Straight Up Films, Summit Entertainment","China, United Kingdom, United States of America",English,"mind control, artificial intelligence (a.i.), computer virus, technology, nanotechnology, super computer, resurrection, love, terrorism, scientist, extremist, moral dilemma, computer scientist, mind transfer, quantum computer, mind uploading",['China'],China,China,2014,Transcendence,False,True,True,True,False,,,,,,,False,,,Transcendence,119,Goc,100000000,Goc,103039258,Goc
311324,The Great Wall,6.005,4748,Released,2016-12-16,331957105.0,103.0,False,/jmg9qYhzPZdYuNaOZr5xrQPK6cQ.jpg,150000000.0,http://www.thegreatwallmovie.com/,tt2034800,en,The Great Wall,European mercenaries searching for black powder become embroiled in the defense of the Great Wall of China against a horde of monstrous creatures.,32.601,/p70dq1YxabemdZDm5K6Q8G10wSn.jpg,1700 years to build. 5500 miles long. What were they trying to keep out?,"Action, Adventure, Fantasy","Legendary East, Universal Pictures, Atlas Entertainment, Le Vision Pictures, Kava Productions, China Film Group Corporation, dentsu, Fuji Television Network, Legendary Pictures","China, Japan, United States of America","Italian, English, Mandarin, Spanish","monster, china, archer, female soldier, historical fiction, explosion, period drama, british soldier, great wall of china, 15th century, female general, war",['China'],China,China,2016,The Great Wall,False,True,True,True,False,,,,,,,False,,,The Great Wall,103,Goc,150000000,Goc,331957105,Goc
453405,Gemini Man,6.311,4718,Released,2019-10-02,173469516.0,117.0,False,/c3F4P2oauA7IQmy4hM0OmRt2W7d.jpg,140000000.0,http://skydance.com/film/gemini-man/,tt1025100,en,Gemini Man,"Henry Brogan is an elite 51-year-old assassin who's ready to call it quits after completing his 72nd job. His plans get turned upside down when he becomes the target of a mysterious operative who can seemingly predict his every move. To his horror, Brogan soon learns that the man who's trying to kill him is a younger, faster, cloned version of himself.",23.667,/uTALxjQU8e1lhmNjP9nnJ3t2pRU.jpg,Who will save you from yourself?,"Science Fiction, Action, Adventure, Thriller","Skydance, Jerry Bruckheimer Films, Alibaba Pictures Group, Fosun Pictures, Paramount, Gobierno de Colombia, Hungarian National Film Fund","China, Colombia, Hungary, United States of America",English,"hitman, clone",['China'],China,China,2019,Gemini Man,False,True,True,True,False,,,,,,,False,,,Gemini Man,117,Goc,140000000,Goc,173469516,Goc
338762,Bloodshot,6.76,4681,Released,2020-03-05,39861118.0,110.0,False,/lP5eKh8WOcPysfELrUpGhHJGZEH.jpg,42000000.0,https://www.bloodshot.movie/,tt1634106,en,Bloodshot,"After he and his wife are murdered, marine Ray Garrison is resurrected by a team of scientists. Enhanced with nanotechnology, he becomes a superhuman, biotech killing machine—'Bloodshot'. As Ray first trains with fellow super-soldiers, he cannot recall anything from his former life. But when his memories flood back and he remembers the man that killed both him and his wife, he breaks out of the facility to get revenge, only to discover that there's more to the conspiracy than he thought.",29.852,/8WUVHemHFH2ZIP6NWkwlHWsyrEL.jpg,Being a superhero is in his blood,"Action, Science Fiction, Adventure","Cross Creek Pictures, Mimran Schur Pictures, Original Film, The Hideaway Entertainment, Valiant Entertainment, Columbia Pictures, One Race, Bona Film Group, Mid Atlantic Films","Canada, China, Hungary, South Africa, United States of America",English,"nanotechnology, superhero, based on comic, memory, psychotronic, valiant comics",['China'],China,China,2020,Bloodshot,False,True,True,True,False,,,,,,,False,,,Bloodshot,110,Goc,42000000,Goc,39861118,Goc
